"","datahora","casos","obitos","pop"
"237469","2021-02-27",58167,1868,1175501
"238114","2021-02-28",58250,1869,1175501
"238759","2021-03-01",58279,1871,1175501
"239404","2021-03-02",58595,1883,1175501
"240049","2021-03-03",58985,1903,1175501
"240694","2021-03-04",59226,1912,1175501
"241339","2021-03-05",59504,1925,1175501
"241984","2021-03-06",59907,1943,1175501
"242629","2021-03-07",59988,1943,1175501
"243274","2021-03-08",60024,1943,1175501
